,0
0,건위고장환
1,종근당유황
2,종근당아연화
3,종근당아스피린
4,히스우르크
5,아남건위
6,지우렌
7,삼남건조수산화알루미늄
8,게루삼현탁
9,정위에릭써
10,청심환
11,영신단
12,상크졸분말
13,상크졸
14,판피린
15,계관
16,이명래고약
17,안티푸라민
18,디아콜
19,메치오닌
20,에비오제분말
21,비타칼슘
22,아주염산치아민
23,제이알원방우황청심원
24,진로우황포룡환
25,사리청쾌환
26,십자표원방우황청심원
27,신일치통수
28,신일개창수
29,네오오잉
30,비타엠
31,보혈조경환
32,일동크레오환
33,순천당크레솔비누
34,설태고
35,진하이
36,동화치통수
37,활명수
38,양귀비
39,환인아스피린
40,뇌
41,명랑
42,지우라민
43,수지발
44,네오마겐
45,피엠
46,진주기화하고약
47,발근고
48,진해
49,통일
50,보음보양노소신기강장약흥양자춘원
51,부인영약조경포태약호생단
52,콘독
53,판비타
54,대웅간유구
55,강력비타톤
56,오르비타
57,건조안위겔말
58,근화옥시테트라싸이클린캅셀
59,스카징크
60,리바솔
61,신한멘담
62,카라드라민
63,티니아
64,조선무약유황
65,비오비타
66,비오티스
67,비오베이비
68,비오티스
69,맘비타
70,대웅비타민씨
71,유한헥사비타민
72,마미리진삼중
73,코오롱카스카라
74,순천당아연화
75,아남요오드틴크
76,아빌
77,노발긴키니네
78,훼스탈
79,태창염산치아민
80,안국테크로마이
81,새로날
82,신신티눈고
83,베루본에스
84,복방화충
85,스코필
86,자운
87,체중환
88,쾌담환
89,보육
90,살충액뉴피디피
91,아네모
92,자모
93,고려인삼정코진토닉
94,남창신위단
95,백자환
96,정담환
97,총명소
98,안중환
99,백중위
100,안온다
101,위나루
102,솔표원삼
103,하드
104,솔표기명환
105,포리아제
106,리포탄
107,페니라민
108,베나칼슘
109,동성비타민에이디
110,캄비손
111,보령치아민
112,보령에페드린
113,삼원
114,게라논
115,제피논원
116,건위보온환
117,양혈온경환
118,벤조리논
119,동인당게라논
120,구명체증약
121,베카친
122,고래표한일탕
123,고래표쌍금탕
124,보이스드롭스
125,고려진삼
126,삼보
127,대양아연화
128,대황중조
129,강력비타아민
130,뉴화상파스타
131,비타홈
132,순천당대황중조합제
133,순천당크레솔수
134,성활수
135,아보민
136,동화고추틴크
137,일화쌍화탕
138,칸탄
139,청계유황
140,합동카르바르손
141,푸레마이
142,소아용설베트환
143,보령비타민씨
144,산제노루모
145,일양암포제
146,원진메치오닌
147,네오피씨
148,아도탄
149,지우라민
150,선진아세틸살리씬
151,원진건위
152,비스카
153,스코
154,선경보태환
155,훙기스탈
156,카페린
157,신풍염산치아민
158,신풍아스피린
159,까스마인
160,박카스내복
161,고려강
162,암부라마이신피부
163,신도마이세친피부
164,암부라이신안
165,신도프튼안
166,신도톱
167,테라코트릴외용
168,지미
169,삐콤
170,푸라콩
171,푸라콩
172,네잘
173,제이알디디에스
174,코사론
175,광일가롤
176,빠지롱에스
177,아페타인
178,핑크타민에이
179,한주훈기탈
180,기명수
181,솔감탕
182,네오손
183,푸라콩
184,알파민내복
185,테트소론외용
186,판타제
187,박카스디
188,유비이
189,비타독
190,스므스삼중
191,박탄디
192,니소론네오마이
193,델타리놀
194,니소론네오마이
195,테라마이신질정MG
196,아로나민
197,대웅아스파라에스내복
198,담즙산우루사
199,삼일염산피리독
200,건위
201,아남황
202,메토화진
203,안미과산화수소수
204,안미요오드틴크
205,크레졸비누
206,영진구론바몬드
207,아스펠
208,쿨탑
209,템파
210,광일비타민비
211,나온다드롭프스
212,유니온자하거
213,레시몬
214,온보왕
215,네오파스
216,이소돈
217,비타럽
218,유베린
219,몰트헤모구로빈
220,대림건위
221,머큐롬
222,활위수
223,대림쌍화탕
224,노이바란스
225,오로트철
226,오로트산내복
227,인솔몬
228,구령
229,삼영쌍화탕
230,활혈신경환
231,양생수
232,삼영단환
233,안진크레솔주
234,조선무약트리아신비
235,시마롱
236,베라진
237,알파에이디캅셀
238,광동
239,카보란
240,필파
241,프로헤파룸
242,한일유베라
243,코리나민
244,노바캅셀
245,로이젤
246,썰파마이세친
247,바이진안약
248,다리늄
249,삼일살리실산나트륨
250,풍일금치수
251,아나루몬
252,포타날좌약
253,뉴트라시드
254,티스토롱
255,씨에스클로르프로마진정MG
256,보령건위
257,일양스코폴리아
258,원비
259,게루삼
260,광일비타민씨
261,나차론에스
262,스맛크
263,빠지롱
264,하이설파디메독
265,베비올
266,대림신우황포룡환
267,대림로얄나민
268,아미고캅셀
